Month,Day,Year,Venue,Event_Artists,Artist_Formula,Event_Formulas,Index
October,19,1975,San Antonio Municipal Auditorium,Ike and Tina Turner Review,Ike and Tina Turner Review,,3553
October,23,1975,Trinity University,"Shawn Phillips, Hall and Oates",Shawn Phillips,,3554
October,23,1975,Trinity University,"Shawn Phillips, Hall and Oates",Hall and Oates,,3554
October,28,1975,Randy's,"Rush, Heyoka",Rush,,3555
October,28,1975,Randy's,"Rush, Heyoka",Heyoka,,3555
October,31,1975,Randy's,the Royal Jesters,the Royal Jesters,,3556
November,1,1975,San Antonio Convention Center Arena,"Vikki Carr, Hank Garcia",Vikki Carr,,3557
November,1,1975,San Antonio Convention Center Arena,"Vikki Carr (Benefit for Holy Cross), Hank Garcia",Hank Garcia,,3557
November,1,1975,Eastwood Country Club,Fats Domino & his Orchestra,Fats Domino & his Orchestra,,3558
November,1,1975,San Antonio Municipal Auditorium,"Battle of Songs:  J.D. Sumner and the Stamps Quartet, The Galileans, The Exodus",J.D. Sumner and the Stamps Quartet,Battle of Songs,3559
November,1,1975,San Antonio Municipal Auditorium,"Battle of Songs:  J.D. Sumner and the Stamps Quartet, The Galileans, The Exodus",The Galileans,Battle of Songs,3559
November,1,1975,San Antonio Municipal Auditorium,"Battle of Songs:  J.D. Sumner and the Stamps Quartet, The Galileans, The Exodus",The Exodus,Battle of Songs,3559
November,1,1975,Villareal's Ice House,"Bloodrock, Augie Meyers and the Western Head Band, Nitzinger, Head Smooth",Bloodrock,,3560
November,1,1975,Villareal's Ice House,"Bloodrock, Augie Meyers and the Western Head Band, Nitzinger, Head Smooth",Augie Meyers and the Western Head Band,,3560
November,1,1975,Villareal's Ice House,"Bloodrock, Augie Meyers and the Western Head Band, Nitzinger, Head Smooth",Nitzinger,,3560
November,1,1975,Villareal's Ice House,"Bloodrock, Augie Meyers and the Western Head Band, Nitzinger, Head Smooth",Head Smooth,,3560
November,2,1975,MacArthur Park,Quota Club Harvest Festival: Johnny Bush,Johnny Bush,Quota Club Harvest Festival,3561
November,6,1975,San Antonio Municipal Auditorium,"KISS, Mott the Hoople",KISS,,3562
November,6,1975,San Antonio Municipal Auditorium,"KISS, Mott the Hoople",Mott the Hoople,,3562
November,7,1975,John T. Floore's Country Store,Augie Meyers and the Western Head Band,Augie Meyers and the Western Head Band,,3563
November,14,1975,San Antonio Convention Center Arena,"Country & Western All-Star Show: Waylon Jennings, Jessi Colter, Tompall and the Outlaw Band, Rusty Weir",Waylon Jennings,Country & Western All-Star Show,3564
November,14,1975,San Antonio Convention Center Arena,"Country & Western All-Star Show: Waylon Jennings, Jessi Colter, Tompall and the Outlaw Band, Rusty Weir",Jessi Colter,Country & Western All-Star Show,3564
November,14,1975,San Antonio Convention Center Arena,"Country & Western All-Star Show: Waylon Jennings, Jessi Colter, Tompall and the Outlaw Band, Rusty Weir",Tompall and the Outlaw Band,Country & Western All-Star Show,3564
November,14,1975,San Antonio Convention Center Arena,"Country & Western All-Star Show: Waylon Jennings, Jessi Colter, Tompall and the Outlaw Band, Rusty Weir",Rusty Weir,Country & Western All-Star Show,3564
November,15,1975,San Antonio Convention Center Arena,"Super Dance I: Sunny & the Sunliners, Little Joe y La Familia, The Latin Breed with Jimmy Edward and Augustin Ramirez",Sunny and the Sunliners,Super Dance I,3565
November,15,1975,San Antonio Convention Center Arena,"Super Dance I: Sunny & the Sunliners, Little Joe y La Familia, The Latin Breed with Jimmy Edward and Augustin Ramirez",Little Joe y La Familia,Super Dance I,3565
November,15,1975,San Antonio Convention Center Arena,"Super Dance I: Sunny & the Sunliners, Little Joe y La Familia, The Latin Breed with Jimmy Edward and Augustin Ramirez",The Latin Breed with Jimmy Edward and Augustin Ramirez,Super Dance I,3565
November,18,1975,Trinity University,Todd Rundgren & Utopia,Todd Rundgren & Utopia,,3566
November,19,1975,San Antonio Convention Center Arena,Benny Goodman (w/the Symphony Pops),Benny Goodman (w/the Symphony Pops),,3567
November,25,1975,San Antonio Municipal Auditorium,"Michael Martin Murphey, Heartsfield",Michael Martin Murphey,,3568
November,25,1975,San Antonio Municipal Auditorium,"Michael Martin Murphey, Heartsfield",Heartsfield,,3568
November,26,1975,San Antonio Convention Center Arena,"ZZ Top, Ramiro Ceverra",ZZ Top,,3569
November,27,1975,Cine Mexico,"Manuel Lopez Ochoa, Mariachi Nuevo San Juan",Manuel Lopez Ochoa,,3570
November,27,1975,Cine Mexico,"Manuel Lopez Ochoa, Mariachi Nuevo San Juan",Mariachi Nuevo San Juan,,3570
November,28,1975,Cine Mexico,"Manuel Lopez Ochoa, Mariachi Nuevo San Juan",Manuel Lopez Ochoa,,3571
November,28,1975,Cine Mexico,"Manuel Lopez Ochoa, Mariachi Nuevo San Juan",Mariachi Nuevo San Juan,,3571
November,29,1975,Cine Mexico,"Manuel Lopez Ochoa, Mariachi Nuevo San Juan",Manuel Lopez Ochoa,,3572
November,29,1975,Cine Mexico,"Manuel Lopez Ochoa, Mariachi Nuevo San Juan",Mariachi Nuevo San Juan,,3572
November,29,1975,San Antonio Convention Center Arena,Linda Ronstadt,Linda Ronstadt,,3573
November,29,1975,Lila Cockrell Theatre, San Antonio Symphony Orchestra,San Antonio Symphony Orchestra,,3574
November,30,1975,Cine Mexico,"Manuel Lopez Ochoa, Mariachi Nuevo San Juan",Manuel Lopez Ochoa,,3575
November,30,1975,Cine Mexico,"Manuel Lopez Ochoa, Mariachi Nuevo San Juan",Mariachi Nuevo San Juan,,3575
December,1,1975,Trinity University, San Antonio Symphony Orchestra,San Antonio Symphony Orchestra,,3576
December,8,1975,San Antonio Municipal Auditorium,Loggins & Messina,Loggins & Messina,,3577
December,10,1975,IWC Auditorium,"Bert Lucarelli (oboe), Raphael Hillyer (violin), Thomas Hyrnkin (piano)",Bert Lucarelli (oboe),,3578
December,10,1975,IWC Auditorium,"Bert Lucarelli (oboe), Raphael Hillyer (violin), Thomas Hyrnkin (piano)",Raphael Hillyer (violin),,3578
December,10,1975,IWC Auditorium,"Bert Lucarelli (oboe), Raphael Hillyer (violin), Thomas Hyrnkin (piano)",Thomas Hyrnkin (piano),,3578
December,13,1975,San Antonio Municipal Auditorium,"Foghat, Montrose, Thee Image (formerly Cactus)",Foghat,,3579
December,13,1975,San Antonio Municipal Auditorium,"Foghat, Montrose, Thee Image (formerly Cactus)",Montrose,,3579
December,13,1975,San Antonio Municipal Auditorium,"Foghat, Montrose, Thee Image (formerly Cactus)",Thee Image (formerly Cactus),,3579
December,19,1975,Farmer's Daughter,The Sounds of the Big Country,The Sounds of the Big Country,,3580
December,19,1975,Kicker Palace,The Wheat Straws,The Wheat Straws,,3581
December,20,1975,Farmer's Daughter,Glenda Raye and the Guys,Glenda Raye and the Guys,,3582
December,20,1975,John T. Floore's Country Store,Willie Eaton and the Rambling Rangers,Willie Eaton and the Rambling Rangers,,3583
December,21,1975,Farmer's Daughter,"San Antonians, Texas Gold",San Antonians,,3584
December,21,1975,Farmer's Daughter,"San Antonians, Texas Gold",Texas Gold,,3584
December,21,1975,John T. Floore's Country Store,Bobby Boyce and the Country Jam,Bobby Boyce and the Country Jam,,3585
January,12,1976,San Antonio Convention Center Arena,"Allman Brothers, Grinderswitch",Allman Brothers,,3586
January,12,1976,San Antonio Convention Center Arena,"Allman Brothers, Grinderswitch",Grinderswitch,,3586
January,17,1976,San Antonio Municipal Auditorium,"Charley Pride, Gary Stewart, Dave & Sugar",Charley Pride,,3587
January,17,1976,San Antonio Municipal Auditorium,"Charley Pride, Gary Stewart, Dave & Sugar",Gary Stewart,,3587
January,17,1976,San Antonio Municipal Auditorium,"Charley Pride, Gary Stewart, Dave & Sugar",Dave & Sugar,,3587
January,23,1976,San Antonio Municipal Auditorium,"Joni Mitchell, The L.A. Express",Joni Mitchell,,3588
January,23,1976,San Antonio Municipal Auditorium,"Joni Mitchell, The L.A. Express",The L.A. Express,,3588
January,24,1976,San Antonio Municipal Auditorium,"Lynyrd Skynyrd, Outlaws",Lynyrd Skynyrd,,3589
January,24,1976,San Antonio Municipal Auditorium,"Lynyrd Skynyrd, Outlaws",Outlaws,,3589
January,29,1976,Villita Assembly Building,Mayor's Prayer Breakfast: Fifth Army Band,Fifth Army Band,Mayor's Prayer Breakfast,3590
February,7,1976,San Antonio Municipal Auditorium,"The First Annual Boogie Festival: The J. Geils Band, Head East, Wet Willie",The J. Geils Band,The First Annual Boogie Festival,3591
February,7,1976,San Antonio Municipal Auditorium,"The First Annual Boogie Festival: The J. Geils Band, Head East, Wet Willie",Head East,The First Annual Boogie Festival,3591
February,7,1976,San Antonio Municipal Auditorium,"The First Annual Boogie Festival: The J. Geils Band, Head East, Wet Willie",Wet Willie,The First Annual Boogie Festival,3591
February,13,1976,Freeman Coliseum,San Antonio Stock Show and Rodeo: Rex Allen,Rex Allen,San Antonio Stock Show and Rodeo,3592
February,14,1976,Freeman Coliseum,San Antonio Stock Show and Rodeo: Rex Allen,Rex Allen,San Antonio Stock Show and Rodeo,3593
February,15,1976,Freeman Coliseum,San Antonio Stock Show and Rodeo: Rex Allen,Rex Allen,San Antonio Stock Show and Rodeo,3594
February,16,1976,Freeman Coliseum,San Antonio Stock Show and Rodeo: Freddy Fender,Freddy Fender,San Antonio Stock Show and Rodeo,3595
February,17,1976,Freeman Coliseum,San Antonio Stock Show and Rodeo: Freddy Fender,Freddy Fender,San Antonio Stock Show and Rodeo,3596
February,18,1976,San Antonio Convention Center Arena,"Deep Purple, Nazareth",Deep Purple,,3597
February,18,1976,San Antonio Convention Center Arena,"Deep Purple, Nazareth",Nazareth,,3597
February,18,1976,Freeman Coliseum,San Antonio Stock Show and Rodeo: Freddy Fender,Freddy Fender,San Antonio Stock Show and Rodeo,3598
February,19,1976,Freeman Coliseum,San Antonio Stock Show and Rodeo: Anacani,Anacani,San Antonio Stock Show and Rodeo,3599
February,19,1976,Freeman Coliseum,San Antonio Stock Show and Rodeo: Anacani,Anacani,San Antonio Stock Show and Rodeo,3600
February,19,1976,Freeman Coliseum,San Antonio Stock Show and Rodeo: Anacani,Anacani,San Antonio Stock Show and Rodeo,3601
February,19,1976,Freeman Coliseum,San Antonio Stock Show and Rodeo: Freddy Fender,Freddy Fender,San Antonio Stock Show and Rodeo,3602
February,27,1976,San Antonio Convention Center Arena,"O'Jays, Commodores, El Chicano",O'Jays,,3603
February,27,1976,San Antonio Convention Center Arena,"O'Jays, Commodores, El Chicano",Commodores,,3603
February,27,1976,San Antonio Convention Center Arena,"O'Jays, Commodores, El Chicano",El Chicano,,3603
February,28,1976,Cabaret,Stoney Edwards,Stoney Edwards,,3604
March,4,1976,Roaring 20's,"The Duke Ellington Orchestra, led by Mercer Ellington",The Duke Ellington Orchestra,,3605
March,4,1976,Roaring 20's,"The Duke Ellington Orchestra, led by Mercer Ellington",led by Mercer Ellington,,3605
March,5,1976,San Antonio Municipal Auditorium,"Black Oak Arkansas, Wishbone Ash, Thee Image",Black Oak Arkansas,,3606
March,5,1976,San Antonio Municipal Auditorium,"Black Oak Arkansas, Wishbone Ash, Thee Image",Wishbone Ash,,3606
March,5,1976,San Antonio Municipal Auditorium,"Black Oak Arkansas, Wishbone Ash, Thee Image",Thee Image,,3606
March,9,1976,Trinity University,Melissa Manchester,Melissa Manchester,,3607
March,13,1976,Cabaret,Tony Koch and the Country Squires,Tony Koch and the Country Squires,,3608
March,20,1976,San Antonio Convention Center Arena,"Bad Company, Ted Nugent",Bad Company,,3609
March,20,1976,San Antonio Convention Center Arena,"Bad Company, Ted Nugent",Ted Nugent,,3609
March,21,1976,University of the Incarnate Word,Jeanine Mzaaurana,Jeanine Mzaaurana,,3610
March,21,1976,Ruth Taylor Theater,Marie McClane (piano),Marie McClane (piano),,3611
March,23,1976,San Antonio Convention Center Arena,Chicago,Chicago,,3612
March,23,1976,University of the Incarnate Word,Gerard Jaffe,Gerard Jaffe,,3613
March,25,1976,Alamo Heights United Methodist Church,Mary Ann de la Garza (organ),Mary Ann de la Garza (organ),,3614
March,27,1976,San Antonio Municipal Auditorium,"Joe Cocker, REO Speedwagon, Bebop Deluxe",Joe Cocker,,3615
March,27,1976,San Antonio Municipal Auditorium,"Joe Cocker, REO Speedwagon, Bebop Deluxe",REO Speedwagon,,3615
March,27,1976,San Antonio Municipal Auditorium,"Joe Cocker, REO Speedwagon, Bebop Deluxe",Bebop Deluxe,,3615
April,1,1976,San Antonio Convention Center Arena,Flash Cadillac & the Continental Kids,Flash Cadillac & the Continental Kids,,3616
April,2,1976,St. James New Hall,Roberto Chavez and his Orchestra,Roberto Chavez and his Orchestra,,3617
April,8,1976,San Antonio Municipal Auditorium,"Pure Prairie League, Maria Muldaur",Pure Prairie League,,3618
April,8,1976,San Antonio Municipal Auditorium,"Pure Prairie League, Maria Muldaur",Maria Muldaur,,3618
April,10,1976,Cabaret,Tony Koch and the Country Squires,Tony Koch and the Country Squires,,3619
April,18,1976,San Antonio Convention Center Arena,"Electric Light Orchestra, Journey",Electric Light Orchestra,,3620
April,18,1976,San Antonio Convention Center Arena,"Electric Light Orchestra, Journey",Journey,,3620
April,18,1976,Sunken Garden Theater, San Antonio Symphony Orchestra,San Antonio Symphony Orchestra,,3621
April,20,1976,Alamo,The Chordsmen,The Chordsmen,,3622
April,20,1976,Hemisfair Plaza,US Navy Sonora del Mar Combo Concert,US Navy Sonora del Mar Combo Concert,,3623
April,20,1976,Hemisfair Plaza,"Mariachi Azteca, Frank Rodriguez and Orchestra, Machismo, Aztlan",Mariachi Azteca,,3624
April,20,1976,Hemisfair Plaza,"Mariachi Azteca, Frank Rodriguez and Orchestra, Machismo, Aztlan",Frank Rodriguez and Orchestra,,3624
April,20,1976,Hemisfair Plaza,"Mariachi Azteca, Frank Rodriguez and Orchestra, Machismo, Aztlan",Machismo,,3624
April,20,1976,Hemisfair Plaza,"Mariachi Azteca, Frank Rodriguez and Orchestra, Machismo, Aztlan",Aztlan,,3624
April,20,1976,Lila Cockrell Theatre,Armed Forces Bicentennial Band Concert,Armed Forces Bicentennial Band Concert,,3625
April,21,1976,Hemisfair Plaza,"Mariachi Azteca, Frank Rodriguez and Orchestra, Machismo, Monody",Mariachi Azteca,,3626
April,21,1976,Hemisfair Plaza,"Mariachi Azteca, Frank Rodriguez and Orchestra, Machismo, Monody",Frank Rodriguez and Orchestra,,3626
April,21,1976,Hemisfair Plaza,"Mariachi Azteca, Frank Rodriguez and Orchestra, Machismo, Monody",Machismo,,3626
April,21,1976,Hemisfair Plaza,"Mariachi Azteca, Frank Rodriguez and Orchestra, Machismo, Monody",Monody,,3626
April,22,1976,Hemisfair Plaza,"Marine Drum and Bugle Corps, Armada, Right Combination, Sabor, Monte Carlo, Mariach Azteca, Paul Elizondo",Marine Drum and Bugle Corps,,3627
April,22,1976,Hemisfair Plaza,"Marine Drum and Bugle Corps, Armada, Right Combination, Sabor, Monte Carlo, Mariach Azteca, Paul Elizondo",Armada,,3627
April,22,1976,Hemisfair Plaza,"Marine Drum and Bugle Corps, Armada, Right Combination, Sabor, Monte Carlo, Mariach Azteca, Paul Elizondo",Right Combination,,3627
April,22,1976,Hemisfair Plaza,"Marine Drum and Bugle Corps, Armada, Right Combination, Sabor, Monte Carlo, Mariach Azteca, Paul Elizondo",Sabor,,3627
April,22,1976,Hemisfair Plaza,"Marine Drum and Bugle Corps, Armada, Right Combination, Sabor, Monte Carlo, Mariach Azteca, Paul Elizondo",Monte Carlo,,3627
April,22,1976,Hemisfair Plaza,"Marine Drum and Bugle Corps, Armada, Right Combination, Sabor, Monte Carlo, Mariach Azteca, Paul Elizondo",Mariach Azteca,,3627
April,22,1976,Hemisfair Plaza,"Marine Drum and Bugle Corps, Armada, Right Combination, Sabor, Monte Carlo, Mariach Azteca, Paul Elizondo",Paul Elizondo,,3627
April,23,1976,Hemisfair Plaza,"Mariachi Azteca, Felix Solis and Orchestra, Caravan and Mix Company",Mariachi Azteca,,3628
April,23,1976,Hemisfair Plaza,"Mariachi Azteca, Felix Solis and Orchestra, Caravan and Mix Company",Felix Solis and Orchestra,,3628
April,23,1976,Hemisfair Plaza,"Mariachi Azteca, Felix Solis and Orchestra, Caravan and Mix Company",Caravan and Mix Company,,3628
April,28,1976,San Antonio Convention Center Arena,Doobie Brothers,Doobie Brothers,,3629
April,28,1976,Loftin Student Center-SAC,Fiesta of San Antonio History: SAC Mariachi Band,SAC Mariachi Band,Fiesta of San Antonio History,3630
April,29,1976,Trinity University,"Janis Ian, Tom Waits",Janis Ian,,3631
April,29,1976,Trinity University,"Janis Ian, Tom Waits",Tom Waits,,3631
April,30,1976,Woodlawn Park, San Antonio Symphony Orchestra,San Antonio Symphony Orchestra,,3632
May,2,1976,Brackenridge Park,"Mariachi San Juan, Los Caminantes, Mariachi Santa Cecilia",Mariachi San Juan,,3633
May,2,1976,Brackenridge Park,"Mariachi San Juan, Los Caminantes, Mariachi Santa Cecilia",Los Caminantes,,3633
May,2,1976,Brackenridge Park,"Mariachi San Juan, Los Caminantes, Mariachi Santa Cecilia",Mariachi Santa Cecilia,,3633
May,3,1976,Arneson River Theatre,"Jack Skiles Band, Emilio Casares, Don Albert, Jesse Gonzales",Jack Skiles Band,,3634
May,3,1976,Arneson River Theatre,"Jack Skiles Band, Emilio Casares, Don Albert, Jesse Gonzales",Emilio Casares,,3634
May,3,1976,Arneson River Theatre,"Jack Skiles Band, Emilio Casares, Don Albert, Jesse Gonzales",Don Albert,,3634
May,3,1976,Arneson River Theatre,"Jack Skiles Band, Emilio Casares, Don Albert, Jesse Gonzales",Jesse Gonzales,,3634
May,7,1976,San Antonio Convention Center Arena,"Ten Years After, Flies on Fire",Ten Years After,,3635
May,7,1976,San Antonio Convention Center Arena,"Ten Years After, Flies on Fire",Flies on Fire,,3635
May,7,1976,Travis Park,Jim Cullum and the Happy Jazz Band,Jim Cullum Jazz Band,,3636
May,8,1976,Ruth Taylor Theater,Guadalupe Parrondo (piano),Guadalupe Parrondo (piano),,3637
May,9,1976,Club Ricardo,Rudy Tee Gonzalez,Rudy Tee Gonzalez,,3638
May,9,1976,Ruth Taylor Theater,Sheila Weinstein (piano),Sheila Weinstein (piano),,3639
May,11,1976,San Antonio Convention Center Arena,"Rolling Thunder Revue: Bob Dylan, Joan Baez, Bob Neuwirth, Roger McGuinn, Kinky Friedman",Bob Dylan,Rolling Thunder Revue,3640
May,11,1976,San Antonio Convention Center Arena,"Rolling Thunder Revue: Bob Dylan, Joan Baez, Bob Neuwirth, Roger McGuinn, Kinky Friedman",Joan Baez,Rolling Thunder Revue,3640
May,11,1976,San Antonio Convention Center Arena,"Rolling Thunder Revue: Bob Dylan, Joan Baez, Bob Neuwirth, Roger McGuinn, Kinky Friedman",Bob Neuwirth,Rolling Thunder Revue,3640
May,11,1976,San Antonio Convention Center Arena,"Rolling Thunder Revue: Bob Dylan, Joan Baez, Bob Neuwirth, Roger McGuinn, Kinky Friedman",Roger McGuinn,Rolling Thunder Revue,3640
May,11,1976,San Antonio Convention Center Arena,"Rolling Thunder Revue: Bob Dylan, Joan Baez, Bob Neuwirth, Roger McGuinn, Kinky Friedman",Kinky Friedman,Rolling Thunder Revue,3640
May,12,1976,Brackenridge Elementary School,"Los Angelitios, SAC Mariachi Band, Rosita Fernandez, Teresa Champion Flamenco Dancers, El Curro",Los Angelitios,,3641
May,12,1976,Brackenridge Elementary School,"Los Angelitios, SAC Mariachi Band, Rosita Fernandez, Teresa Champion Flamenco Dancers, El Curro",SAC Mariachi Band,,3641
May,12,1976,Brackenridge Elementary School,"Los Angelitios, SAC Mariachi Band, Rosita Fernandez, Teresa Champion Flamenco Dancers, El Curro",Rosita Fernandez,,3641
May,12,1976,Brackenridge Elementary School,"Los Angelitios, SAC Mariachi Band, Rosita Fernandez, Teresa Champion, El Curro",Teresa Champion,,3641
May,12,1976,Brackenridge Elementary School,"Los Angelitios, SAC Mariachi Band, Rosita Fernandez, Teresa Champion Flamenco Dancers, El Curro",El Curro,,3641
May,16,1976,Club Ricardo,Rudy Tee Gonzalez,Rudy Tee Gonzalez,,3642
May,21,1976,Trinity University,"Charlie Daniels Band, Michael Martin Murphey",Charlie Daniels Band,,3643
May,21,1976,Trinity University,"Charlie Daniels Band, Michael Martin Murphey",Michael Martin Murphey,,3643
May,23,1976,Club Ricardo,Rudy Tee Gonzalez,Rudy Tee Gonzalez,,3644
May,24,1976,San Antonio Municipal Auditorium,"Leon Russell Show: Leon and Mary Russell, REO Speedwagon",Leon and Mary Russell,Leon Russell Show,3645
May,24,1976,San Antonio Municipal Auditorium,"Leon Russell Show: Leon and Mary Russell, REO Speedwagon",REO Speedwagon,Leon Russell Show,3645
May,30,1976,Club Ricardo,Rudy Tee Gonzalez,Rudy Tee Gonzalez,,3646
June,6,1976,Freeman Coliseum,Ted Nugent,Ted Nugent,,3647
June,7,1976,San Antonio Municipal Auditorium,"Rush, Thin Lizzy, Styx",Rush,,3648
June,7,1976,San Antonio Municipal Auditorium,"Rush, Thin Lizzy, Styx",Thin Lizzy,,3648
June,7,1976,San Antonio Municipal Auditorium,"Rush, Thin Lizzy, Styx",Styx,,3648
June,8,1976,Courthouse Travelodge,Jimmy Carter campaign event: Valentino and the Cosmic Armadillo,Valentino and the Cosmic Armadillo,Jimmy Carter campaign event,3649
June,13,1976,Arneson River Theatre,"Ballet Folkloricp de San Antonio, Mariachi International",Ballet Folkloricp de San Antonio,,3650
June,13,1976,Arneson River Theatre,"Ballet Folkloricp de San Antonio, Mariachi International",Mariachi International,,3650
June,13,1976,Brackenridge Park,Hilda Jimenez,Hilda Jimenez,,3651
June,13,1976,Sunken Garden Theater,Monsanto Orchestra,Monsanto Orchestra,,3652
June,19,1976,Plaza Nueva,Noche Tipica Mexicana: Robert Chavez Orchestra,Roberto Chavez and his Orchestra,Noche Tipica Mexicana,3653
June,25,1976,San Antonio Municipal Auditorium,"Aerosmith, Stu Daye",Aerosmith,,3654
June,25,1976,San Antonio Municipal Auditorium,"Aerosmith, Stu Daye",Stu Daye,,3654
July,7,1976,Turtle Creek Country Club,The Ike and Tina Turner Explosion,The Ike and Tina Turner Explosion,,3655
July,8,1976,Turtle Creek Country Club,The Ike and Tina Turner Explosion,The Ike and Tina Turner Explosion,,3656
July,9,1976,San Antonio Municipal Auditorium,"Blue Öyster Cult (Ritchie Blackmore, Starz/Mott the Hoople?)",Blue Öyster Cult (Ritchie Blackmore,,3657
July,9,1976,San Antonio Municipal Auditorium,"Blue Öyster Cult (Ritchie Blackmore, Starz/Mott the Hoople?)",Starz/Mott the Hoople?),,3657
July,9,1976,Turtle Creek Country Club,The Ike and Tina Turner Explosion,The Ike and Tina Turner Explosion,,3658
July,10,1976,King William Park,Mexican American Business and Professional Women's Club Fiesta: Mariachi Nuevo San Juan,Mariachi Nuevo San Juan,Mexican American Business and Professional Women's Club Fiesta,3659
July,11,1976,Arneson River Theatre,"Ballet Folklorico de San Antonio, Mariachi International, Gloria Aguillar",Ballet Folklorico de San Antonio,,3660
July,11,1976,Arneson River Theatre,"Ballet Folklorico de San Antonio, Mariachi International, Gloria Aguillar",Mariachi International,,3660
July,11,1976,Arneson River Theatre,"Ballet Folklorico de San Antonio, Mariachi International, Gloria Aguillar",Gloria Aguillar,,3660
July,11,1976,Lila Cockrell Theatre,Trini Lopez & George Goebel,Trini Lopez & George Goebel,,3661
July,13,1976,San Antonio Convention Center Arena,Santana,Santana,,3662
July,24,1976,Brackenridge Park,"Army Blues, Fifth Army Band",Army Blues,,3663
July,24,1976,Brackenridge Park,"Army Blues, Fifth Army Band",Fifth Army Band,,3663
July,25,1976,San Antonio Municipal Auditorium,"Ted Nugent, Head East, Mahogany Rush",Ted Nugent,,3664
July,25,1976,San Antonio Municipal Auditorium,"Ted Nugent, Head East, Mahogany Rush",Head East,,3664
July,25,1976,San Antonio Municipal Auditorium,"Ted Nugent, Head East, Mahogany Rush",Mahogany Rush,,3664
July,25,1976,Fort Sam Houston Gazebo,Fifth Army Band,Fifth Army Band,,3665
July,26,1976,Arneson River Theatre,Army Blues,Army Blues,,3666
July,31,1976,Alamo Stadium,Augie Meyers and the Western Head Band,Augie Meyers and the Western Head Band,,3667
August,7,1976,San Antonio Municipal Auditorium,Yes,Yes,,3668
August,10,1976,Randy's,"Red Sovine ""Mr. Teddy Bear"", Vernon Oxford, Patti Fulton",Red Sovine,,3669
August,10,1976,Randy's,"Red Sovine ""Mr. Teddy Bear"", Vernon Oxford, Patti Fulton",Vernon Oxford,,3669
August,10,1976,Randy's,"Red Sovine ""Mr. Teddy Bear"", Vernon Oxford, Patti Fulton",Patti Fulton,,3669
August,14,1976,Farmers Market,"Noche en El Mercado: Frank Rodgriguez and the Continental Orchestra, Conjunto Los Caminantes, Mariachi Nuevo San Juan",Frank Rodgriguez and the Continental Orchestra,Noche en El Mercado,3670
August,14,1976,Farmers Market,"Noche en El Mercado: Frank Rodgriguez and the Continental Orchestra, Conjunto Los Caminantes, Mariachi Nuevo San Juan",Conjunto Los Caminantes,Noche en El Mercado,3670
August,14,1976,Farmers Market,"Noche en El Mercado: Frank Rodgriguez and the Continental Orchestra, Conjunto Los Caminantes, Mariachi Nuevo San Juan",Mariachi Nuevo San Juan,Noche en El Mercado,3670
August,14,1976,San Antonio Municipal Auditorium,Bob Seger,Bob Seger,,3671
August,15,1976,Arneson River Theatre,"Ballet Folklorico de San Antonio, Mariachi International, Gloria Aguillar",Ballet Folklorico de San Antonio,,3672
August,15,1976,Arneson River Theatre,"Ballet Folklorico de San Antonio, Mariachi International, Gloria Aguillar",Mariachi International,,3672
August,15,1976,Arneson River Theatre,"Ballet Folklorico de San Antonio, Mariachi International, Gloria Aguillar",Gloria Aguillar,,3672
August,26,1976,Randy's,The Runaways,The Runaways,,3673
August,26,1976,Chef John Loft Steakhouse,Rudy Ochoa Trio,Rudy Ochoa Trio,,3674
August,27,1976,Ten West Apartment,Beaver Creek featuring Patsy Coleman,Beaver Creek featuring Patsy Coleman,,3675
August,27,1976,Chef John Loft Steakhouse,Rudy Ochoa Trio,Rudy Ochoa Trio,,3676
August,27,1976,Travis Park,Easy Adams and the Texas Top Hands,Easy Adams and the Texas Top Hands,,3677
August,27,1976,San Antonio Convention Center Arena,Elvis Presley,Elvis Presley,,3678
August,27,1976,Arneson River Theatre,"Rosita Fernandez, Manuel Mier, Magda and Roberto",Rosita Fernandez,,3679
August,27,1976,Arneson River Theatre,"Rosita Fernandez, Manuel Mier, Magda and Roberto",Manuel Mier,,3679
August,27,1976,Arneson River Theatre,"Rosita Fernandez, Manuel Mier, Magda and Roberto",Magda and Roberto,,3679
August,27,1976,Arneson River Theatre,"Rosita Fernandez, Manuel Mier, Magda and Roberto",Rosita Fernandez,,3680
August,27,1976,Arneson River Theatre,"Rosita Fernandez, Manuel Mier, Magda and Roberto",Manuel Mier,,3680
August,27,1976,Arneson River Theatre,"Rosita Fernandez, Manuel Mier, Magda and Roberto",Magda and Roberto,,3680
August,28,1976,Chef John Loft Steakhouse,Rudy Ochoa Trio,Rudy Ochoa Trio,,3681
August,29,1976,JK's Dicsoteque,The Sophisticates,The Sophisticates,,3682
August,29,1976,Fort Sam Houston Gazebo,Fifth Army Band,Fifth Army Band,,3683
August,29,1976,San Antonio Convention Center Arena,"Earth Wind and Fire, Ramsey Lewis and the Emotions",Earth Wind and Fire,,3684
August,29,1976,San Antonio Convention Center Arena,"Earth Wind and Fire, Ramsey Lewis and the Emotions",Ramsey Lewis and the Emotions,,3684
August,29,1976,Durty Nellie's,"Talent Show final: Foxfire Trio, Rated Supplement, Becky Garcia and Gerry Garcia, Anna Wood, Veronica Gonzales, Tish Hinojosa, Mark Mahan. Ken Blair, Joan Lambert, Daniel Nigg",Foxfire Trio,Talent Show final,3685
