Month,Day,Year,Venue,Event_Artists,Artist_Formula,Event_Formulas,Index
April,17,1993,Sunken Garden Theater,"A Taste of New Orleans: Latin Player'z, Algiers Brass Band, Little Willie Davis & Zydeco Band, Lee Thomason Quintet, Trinity University Jazz Band",Trinity University Jazz Band,A Taste of New Orleans,10416
April,18,1993,Freeman Coliseum,"La Semana Alegre : Frank Cappelli of Nickelodeon, circus, magic show",Frank Cappelli of Nickelodeon,La Semana Alegre,10417
April,18,1993,Freeman Coliseum,"La Semana Alegre : Frank Cappelli of Nickelodeon, circus, magic show",circus,La Semana Alegre,10417
April,18,1993,Freeman Coliseum,"La Semana Alegre : Frank Cappelli of Nickelodeon, circus, magic show",magic show,La Semana Alegre,10417
April,18,1993,Freeman Coliseum,"La Semana Alegre : Flash Cadillac, The Drifters, The Daddios, The KONO Crickets,  Brian Black, Nashville Sounds",Flash Cadillac,La Semana Alegre,10418
April,18,1993,Freeman Coliseum,"La Semana Alegre : Flash Cadillac, The Drifters, The Daddios, The KONO Crickets,  Brian Black, Nashville Sounds",The Drifters,La Semana Alegre,10418
April,18,1993,Freeman Coliseum,"La Semana Alegre : Flash Cadillac, The Drifters, The Daddios, The KONO Crickets,  Brian Black, Nashville Sounds",The Daddios,La Semana Alegre,10418
April,18,1993,Freeman Coliseum,"La Semana Alegre : Flash Cadillac, The Drifters, The Daddios, The KONO Crickets,  Brian Black, Nashville Sounds",The KONO Crickets,La Semana Alegre,10418
April,18,1993,Freeman Coliseum,"La Semana Alegre : Flash Cadillac, The Drifters, The Daddios, The KONO Crickets,  Brian Black, Nashville Sounds",Brian Black,La Semana Alegre,10418
April,18,1993,Freeman Coliseum,"La Semana Alegre : Flash Cadillac, The Drifters, The Daddios, The KONO Crickets,  Brian Black, Nashville Sounds",Nashville Sounds,La Semana Alegre,10418
April,18,1993,Sunken Garden Theater,"A Taste of New Orleans:  The Jim Cullum Jazz Band, Richard Garcia & First Light, Little Willie Davis & Zydeco Band, Lee Thomason Quintet",Jim Cullum Jazz Band,A Taste of New Orleans,10419
April,18,1993,Sunken Garden Theater,"A Taste of New Orleans:  The Jim Cullum Jazz Band, Richard Garcia & First Light, Little Willie Davis & Zydeco Band, Lee Thomason Quintet",Richard Garcia & First Light,A Taste of New Orleans,10419
April,18,1993,Sunken Garden Theater,"A Taste of New Orleans:  The Jim Cullum Jazz Band, Richard Garcia & First Light, Little Willie Davis & Zydeco Band, Lee Thomason Quintet",Little Willie Davis & Zydeco Band,A Taste of New Orleans,10419
April,18,1993,Sunken Garden Theater,"A Taste of New Orleans:  The Jim Cullum Jazz Band, Richard Garcia & First Light, Little Willie Davis & Zydeco Band, Lee Thomason Quintet",Lee Thomason Quintet,A Taste of New Orleans,10419
April,19,1993,Freeman Coliseum,"La Semana Alegre : TLC, Lighter Shade of Brown, Pete Rock & C.L. Smooth, Paperboy, Wendy Moten, George LaMond, Innocent Bystander",TLC,La Semana Alegre,10420
April,19,1993,Freeman Coliseum,"La Semana Alegre : TLC, Lighter Shade of Brown, Pete Rock & C.L. Smooth, Paperboy, Wendy Moten, George LaMond, Innocent Bystander",Lighter Shade of Brown,La Semana Alegre,10420
April,19,1993,Freeman Coliseum,"La Semana Alegre : TLC, Lighter Shade of Brown, Pete Rock & C.L. Smooth, Paperboy, Wendy Moten, George LaMond, Innocent Bystander",Pete Rock & C.L. Smooth,La Semana Alegre,10420
April,19,1993,Freeman Coliseum,"La Semana Alegre : TLC, Lighter Shade of Brown, Pete Rock & C.L. Smooth, Paperboy, Wendy Moten, George LaMond, Innocent Bystander",Paperboy,La Semana Alegre,10420
April,19,1993,Freeman Coliseum,"La Semana Alegre : TLC, Lighter Shade of Brown, Pete Rock & C.L. Smooth, Paperboy, Wendy Moten, George LaMond, Innocent Bystander",Wendy Moten,La Semana Alegre,10420
April,19,1993,Freeman Coliseum,"La Semana Alegre : TLC, Lighter Shade of Brown, Pete Rock & C.L. Smooth, Paperboy, Wendy Moten, George LaMond, Innocent Bystander",George LaMond,La Semana Alegre,10420
April,19,1993,Freeman Coliseum,"La Semana Alegre : TLC, Lighter Shade of Brown, Pete Rock & C.L. Smooth, Paperboy, Wendy Moten, George LaMond, Innocent Bystander",Innocent Bystander,La Semana Alegre,10420
April,19,1993,Freeman Coliseum,"La Semana Alegre : La Fiebre, Ram Herrera, Culturas, Tragically Hip, Gene Loves Jezebel, The Sand Rubies",La Fiebre,La Semana Alegre,10421
April,19,1993,Freeman Coliseum,"La Semana Alegre : La Fiebre, Ram Herrera, Culturas, Tragically Hip, Gene Loves Jezebel, The Sand Rubies",Ram Herrera,La Semana Alegre,10421
April,19,1993,Freeman Coliseum,"La Semana Alegre : La Fiebre, Ram Herrera, Culturas, Tragically Hip, Gene Loves Jezebel, The Sand Rubies",Culturas,La Semana Alegre,10421
April,19,1993,Freeman Coliseum,"La Semana Alegre : La Fiebre, Ram Herrera, Culturas, Tragically Hip, Gene Loves Jezebel, The Sand Rubies",Tragically Hip,La Semana Alegre,10421
April,19,1993,Freeman Coliseum,"La Semana Alegre : La Fiebre, Ram Herrera, Culturas, Tragically Hip, Gene Loves Jezebel, The Sand Rubies",Gene Loves Jezebel,La Semana Alegre,10421
April,19,1993,Freeman Coliseum,"La Semana Alegre : La Fiebre, Ram Herrera, Culturas, Tragically Hip, Gene Loves Jezebel, The Sand Rubies",The Sand Rubies,La Semana Alegre,10421
April,20,1993,Freeman Coliseum,"La Semana Alegre : Arc Angels, John Kitzer, The Inclined, Mark ""Ozzy Fudd"" McCollum",Arc Angels,La Semana Alegre,10422
April,20,1993,Freeman Coliseum,"La Semana Alegre : Arc Angels, John Kitzer, The Inclined, Mark ""Ozzy Fudd"" McCollum",John Kitzer,La Semana Alegre,10422
April,20,1993,Freeman Coliseum,"La Semana Alegre : Arc Angels, John Kitzer, The Inclined, Mark ""Ozzy Fudd"" McCollum",The Inclined,La Semana Alegre,10422
April,20,1993,Freeman Coliseum,"La Semana Alegre : Arc Angels, John Kitzer, The Inclined, Mark ""Ozzy Fudd"" McCollum",Mark Ozzy Fudd McCollum,La Semana Alegre,10422
April,20,1993,Freeman Coliseum,"La Semana Alegre : Paul Revere & the Raiders, Flash Cadillac, Gingbreadmen, David Marez & People, Modelo",Paul Revere & the Raiders,La Semana Alegre,10423
April,20,1993,Freeman Coliseum,"La Semana Alegre : Paul Revere & the Raiders, Flash Cadillac, Gingbreadmen, David Marez & People, Modelo",Flash Cadillac,La Semana Alegre,10423
April,20,1993,Freeman Coliseum,"La Semana Alegre : Paul Revere & the Raiders, Flash Cadillac, Gingbreadmen, David Marez & People, Modelo",Gingbreadmen,La Semana Alegre,10423
April,20,1993,Freeman Coliseum,"La Semana Alegre : Paul Revere & the Raiders, Flash Cadillac, Gingbreadmen, David Marez & People, Modelo",David Marez & People,La Semana Alegre,10423
April,20,1993,Freeman Coliseum,"La Semana Alegre : Paul Revere & the Raiders, Flash Cadillac, Gingbreadmen, David Marez & People, Modelo",Modelo,La Semana Alegre,10423
April,21,1993,Freeman Coliseum,"La Semana Alegre : Tracy Lawrence, Marty Stewart, Ricky Lynn Gregg",Tracy Lawrence,La Semana Alegre,10424
April,21,1993,Freeman Coliseum,"La Semana Alegre : Tracy Lawrence, Marty Stewart, Ricky Lynn Gregg",Marty Stewart,La Semana Alegre,10424
April,21,1993,Freeman Coliseum,"La Semana Alegre : Tracy Lawrence, Marty Stewart, Ricky Lynn Gregg",Ricky Lynn Gregg,La Semana Alegre,10424
April,21,1993,Freeman Coliseum,"La Semana Alegre : David Lee Garza, Gary Hobbs, Inocencia, Pariah, Bone China, Medicine Men",David Lee Garza,La Semana Alegre,10425
April,21,1993,Freeman Coliseum,"La Semana Alegre : David Lee Garza, Gary Hobbs, Inocencia, Pariah, Bone China, Medicine Men",Gary Hobbs,La Semana Alegre,10425
April,21,1993,Freeman Coliseum,"La Semana Alegre : David Lee Garza, Gary Hobbs, Inocencia, Pariah, Bone China, Medicine Men",Inocencia,La Semana Alegre,10425
April,21,1993,Freeman Coliseum,"La Semana Alegre : David Lee Garza, Gary Hobbs, Inocencia, Pariah, Bone China, Medicine Men",Pariah,La Semana Alegre,10425
April,21,1993,Freeman Coliseum,"La Semana Alegre : David Lee Garza, Gary Hobbs, Inocencia, Pariah, Bone China, Medicine Men",Bone China,La Semana Alegre,10425
April,21,1993,Freeman Coliseum,"La Semana Alegre : David Lee Garza, Gary Hobbs, Inocencia, Pariah, Bone China, Medicine Men",Medicine Men,La Semana Alegre,10425
April,22,1993,Carver Community Cultural Center,"Grover Washington Jr., Ramsey Lewis, Lalah Hathaway, Nancy Wilson",Grover Washington Jr.,,10426
April,22,1993,Carver Community Cultural Center,"Grover Washington Jr., Ramsey Lewis, Lalah Hathaway, Nancy Wilson",Ramsey Lewis,,10426
April,22,1993,Carver Community Cultural Center,"Grover Washington Jr., Ramsey Lewis, Lalah Hathaway, Nancy Wilson",Lalah Hathaway,,10426
April,22,1993,Carver Community Cultural Center,"Grover Washington Jr., Ramsey Lewis, Lalah Hathaway, Nancy Wilson",Nancy Wilson,,10426
